LOCATION,TIME,Value
AUS,1979,9328.979287
AUS,1980,10411.6941
AUS,1981,11693.8609
AUS,1982,11864.24709
AUS,1983,12584.91314
AUS,1984,13372.40331
AUS,1985,14212.63004
AUS,1986,14678.51289
AUS,1987,15710.77451
AUS,1988,16611.03119
AUS,1989,17155.58802
AUS,1990,17064.569
AUS,1991,17416.16642
AUS,1992,18575.06228
AUS,1993,19664.37964
AUS,1994,20613.68796
AUS,1995,21564.01657
AUS,1996,22437.8434
AUS,1997,23632.85424
AUS,1998,24829.97209
AUS,1999,26315.71776
AUS,2000,27456.42562
AUS,2001,28673.75052
AUS,2002,29874.37755
AUS,2003,31325.05215
AUS,2004,32598.99991
AUS,2005,34185.28751
AUS,2006,36156.76716
AUS,2007,37978.83789
AUS,2008,38688.65284
AUS,2009,39998.66868
AUS,2010,41069.85002
AUS,2011,43068.35614
AUS,2012,42787.76105
AUS,2013,46511.40856
AUS,2014,46664.71127
AUS,2015,46213.00104
AUS,2016,48941.12465
AUS,2017,49628.09931
AUS,2018,51828.01317
AUT,1979,9490.80905
AUT,1980,10519.47855
AUT,1981,11443.61182
AUT,1982,12404.23661
AUT,1983,13323.77387
AUT,1984,13799.02321
AUT,1985,14587.65099
AUT,1986,15168.95265
AUT,1987,15747.64623
AUT,1988,16880.66258
AUT,1989,18160.6613
AUT,1990,19525.08019
AUT,1991,20563.68517
AUT,1992,21306.1298
AUT,1993,21752.22323
AUT,1994,22635.33601
AUT,1995,23562.66628
AUT,1996,24502.86413
AUT,1997,25300.51279
AUT,1998,26512.38283
AUT,1999,27169.07744
AUT,2000,29131.09841
AUT,2001,29309.15115
AUT,2002,30997.10108
AUT,2003,32040.95252
AUT,2004,33707.11195
AUT,2005,34950.38938
AUT,2006,37707.75983
AUT,2007,39351.37002
AUT,2008,41660.64267
AUT,2009,40948.77162
AUT,2010,42400.98847
AUT,2011,44619.14349
AUT,2012,46524.5859
AUT,2013,48065.98008
AUT,2014,48877.87702
AUT,2015,49463.58669
AUT,2016,52610.4151
AUT,2017,54166.88228
AUT,2018,56733.21083
BEL,1979,9068.502695
BEL,1980,10293.18879
BEL,1981,11236.71244
BEL,1982,11935.6464
BEL,1983,12429.13169
BEL,1984,13222.17686
BEL,1985,13903.77775
BEL,1986,14451.56226
BEL,1987,15180.29822
BEL,1988,16398.73319
BEL,1989,17516.02111
BEL,1990,18711.94265
BEL,1991,19698.99661
BEL,1992,20367.82136
BEL,1993,20772.39868
BEL,1994,22004.73535
BEL,1995,22897.39817
BEL,1996,23232.13271
BEL,1997,24302.87647
BEL,1998,24961.76596
BEL,1999,26033.53609
BEL,2000,28511.44772
BEL,2001,29339.04604
BEL,2002,30805.58001
BEL,2003,31489.47803
BEL,2004,32479.25055
BEL,2005,33592.43946
BEL,2006,35722.98617
BEL,2007,37264.20885
BEL,2008,38804.65143
BEL,2009,38488.50306
BEL,2010,40478.56735
BEL,2011,41007.73301
BEL,2012,43271.81902
BEL,2013,44746.98572
BEL,2014,45872.68494
BEL,2015,46867.29929
BEL,2016,49086.13576
BEL,2017,51319.17378
BEL,2018,52618.39899
CAN,1979,10279.76496
CAN,1980,11326.85868
CAN,1981,12646.20639
CAN,1982,12830.49886
CAN,1983,13618.7588
CAN,1984,14778.42718
CAN,1985,15829.11928
CAN,1986,16278.85529
CAN,1987,17183.45109
CAN,1988,18305.58742
CAN,1989,19078.31806
CAN,1990,19495.89441
CAN,1991,19548.47193
CAN,1992,19880.83075
CAN,1993,20704.82761
CAN,1994,21815.38721
CAN,1995,22669.44488
CAN,1996,23243.7492
CAN,1997,24468.25579
CAN,1998,25426.19015
CAN,1999,26904.53068
CAN,2000,28593.20163
CAN,2001,29363.72874
CAN,2002,30181.35919
CAN,2003,31540.63118
CAN,2004,33183.10095
CAN,2005,35586.40976
CAN,2006,37501.32
CAN,2007,38973.90892
CAN,2008,39784.71224
CAN,2009,38223.49729
CAN,2010,39320.27258
CAN,2011,40875.5971
CAN,2012,41497.04619
CAN,2013,43537.68522
CAN,2014,44890.42887
CAN,2015,43987.07843
CAN,2016,45912.6252
CAN,2017,48072.87856
CAN,2018,49429.84933
CZE,1992,11718.74717
CZE,1993,12073.76259
CZE,1994,12683.73212
CZE,1995,13643.34387
CZE,1996,14382.44975
CZE,1997,14538.93526
CZE,1998,14706.10217
CZE,1999,15059.3505
CZE,2000,15871.38373
CZE,2001,17064.16514
CZE,2002,17552.21368
CZE,2003,18769.28024
CZE,2004,19823.86943
CZE,2005,20918.74522
CZE,2006,22271.96846
CZE,2007,24397.45182
CZE,2008,25925.53936
CZE,2009,25557.17553
CZE,2010,25539.45645
CZE,2011,26615.1322
CZE,2012,27251.23853
CZE,2013,28675.78896
CZE,2014,30091.89481
CZE,2015,31430.79637
CZE,2016,33554.35496
CZE,2017,36140.38285
CZE,2018,38189.39786
DNK,1979,9057.356841
DNK,1980,9705.071695
DNK,1981,10419.85895
DNK,1982,11397.1304
DNK,1983,12195.34
DNK,1984,13107.82089
DNK,1985,14046.6625
DNK,1986,15111.67476
DNK,1987,15570.67295
DNK,1988,16054.16116
DNK,1989,16716.68753
DNK,1990,17592.88791
DNK,1991,18362.02025
DNK,1992,19171.74929
DNK,1993,19690.94573
DNK,1994,21170.67402
DNK,1995,22260.18989
DNK,1996,23239.4193
DNK,1997,24469.20511
DNK,1998,25452.24544
DNK,1999,26377.02311
DNK,2000,28024.73322
DNK,2001,29025.17284
DNK,2002,30258.70021
DNK,2003,30514.38378
DNK,2004,32958.57122
DNK,2005,34428.17106
DNK,2006,37742.94733
DNK,2007,39171.61143
DNK,2008,41743.40854
DNK,2009,40773.76107
DNK,2010,43741.06383
DNK,2011,45344.36717
