LOCATION,TIME,Value
AUS,1979,14.51573
AUS,1980,14.69536
AUS,1981,14.92326
AUS,1982,15.18425
AUS,1983,15.39347
AUS,1984,15.57939
AUS,1985,15.78831
AUS,1986,16.01835
AUS,1987,16.26387
AUS,1988,16.53216
AUS,1989,16.81442
AUS,1990,17.06513
AUS,1991,17.28404
AUS,1992,17.479
AUS,1993,17.635
AUS,1994,17.805
AUS,1995,18.005
AUS,1996,18.225
AUS,1997,18.423
AUS,1998,18.608
AUS,1999,18.812
AUS,2000,19.029
AUS,2001,19.275
AUS,2002,19.495
AUS,2003,19.721
AUS,2004,19.933
AUS,2005,20.177
AUS,2006,20.451
AUS,2007,20.828
AUS,2008,21.249
AUS,2009,21.692
AUS,2010,22.032
AUS,2011,22.34
AUS,2012,22.728
AUS,2013,23.126
AUS,2014,23.491
AUT,1979,7.549424
AUT,1980,7.549432
AUT,1981,7.56871
AUT,1982,7.574139
AUT,1983,7.56191
AUT,1984,7.561434
AUT,1985,7.564984
AUT,1986,7.569794
AUT,1987,7.574585
AUT,1988,7.585317
AUT,1989,7.619566
AUT,1990,7.67785
AUT,1991,7.75489
AUT,1992,7.840709
AUT,1993,7.905632
AUT,1994,7.936117
AUT,1995,7.948278
AUT,1996,7.959016
AUT,1997,7.968041
AUT,1998,7.976788
AUT,1999,7.992323
AUT,2000,8.011566
AUT,2001,8.042293
AUT,2002,8.082121
AUT,2003,8.118245
AUT,2004,8.169441
AUT,2005,8.225278
AUT,2006,8.267948
AUT,2007,8.295189
AUT,2008,8.321541
AUT,2009,8.341483
AUT,2010,8.361069
AUT,2011,8.388534
AUT,2012,8.426311
AUT,2013,8.46857
BEL,1979,9.848382
BEL,1980,9.859242
BEL,1981,9.858981
BEL,1982,9.856303
BEL,1983,9.85552
BEL,1984,9.855372
BEL,1985,9.858308
BEL,1986,9.861823
BEL,1987,9.870233
BEL,1988,9.901664
BEL,1989,9.937697
BEL,1990,9.967378
BEL,1991,10.00449
BEL,1992,10.04516
BEL,1993,10.08447
BEL,1994,10.1156
BEL,1995,10.13681
BEL,1996,10.15664
BEL,1997,10.18125
BEL,1998,10.20301
BEL,1999,10.22642
BEL,2000,10.25125
BEL,2001,10.28657
BEL,2002,10.33278
BEL,2003,10.37613
BEL,2004,10.42114
BEL,2005,10.47862
BEL,2006,10.54796
BEL,2007,10.6257
BEL,2008,10.70997
BEL,2009,10.79649
BEL,2010,10.92027
BEL,2011,11.04774
BEL,2012,11.12825
BEL,2013,11.17844
BEL,2014,11.22728
CAN,1979,24.202
