code,year,gap,continent,country,income,pop
AUS,1979,20,Oceania,Australia,9328.979287,14.51573
AUS,1980,18.75,Oceania,Australia,10411.6941,14.69536
AUS,1981,18.25396825,Oceania,Australia,11693.8609,14.92326
AUS,1982,20.81911263,Oceania,Australia,11864.24709,15.18425
AUS,1983,19.15584416,Oceania,Australia,12584.91314,15.39347
AUS,1984,18.6746988,Oceania,Australia,13372.40331,15.57939
AUS,1985,19.60784314,Oceania,Australia,14212.63004,15.78831
AUS,1986,18.84816754,Oceania,Australia,14678.51289,16.01835
AUS,1987,18.51851852,Oceania,Australia,15710.77451,16.26387
AUS,1988,18.79350348,Oceania,Australia,16611.03119,16.53216
AUS,1989,18.58974359,Oceania,Australia,17155.58802,16.81442
AUS,1990,18.18181818,Oceania,Australia,17064.569,17.06513
AUS,1991,16.015625,Oceania,Australia,17416.16642,17.28404
AUS,1992,14.25855513,Oceania,Australia,18575.06228,17.479
AUS,1993,13.22463768,Oceania,Australia,19664.37964,17.635
AUS,1994,14.40972222,Oceania,Australia,20613.68796,17.805
AUS,1995,14.47811448,Oceania,Australia,21564.01657,18.005
AUS,1997,15.25423729,Oceania,Australia,23632.85424,18.423
AUS,1998,13.24200913,Oceania,Australia,24829.97209,18.608
AUS,1999,14.28571429,Oceania,Australia,26315.71776,18.812
AUS,2000,17.2,Oceania,Australia,27456.42562,19.029
AUS,2001,14.34210526,Oceania,Australia,28673.75052,19.275
AUS,2002,15,Oceania,Australia,29874.37755,19.495
AUS,2003,13.04347826,Oceania,Australia,31325.05215,19.721
AUS,2004,14.35294118,Oceania,Australia,32598.99991,19.933
AUS,2005,15.77777778,Oceania,Australia,34185.28751,20.177
AUS,2006,16.66666667,Oceania,Australia,36156.76716,20.451
AUS,2007,15.4,Oceania,Australia,37978.83789,20.828
AUS,2008,11.93737769,Oceania,Australia,38688.65284,21.249
AUS,2009,16.36363636,Oceania,Australia,39998.66868,21.692
AUS,2010,14.04293381,Oceania,Australia,41069.85002,22.032
AUS,2011,15.96638656,Oceania,Australia,43068.35614,22.34
AUS,2012,13.75,Oceania,Australia,42787.76105,22.728
AUS,2013,18,Oceania,Australia,46511.40856,23.126
AUS,2014,15.38461539,Oceania,Australia,46664.71127,23.491
AUS,2015,13,Oceania,Australia,46213.00104,23.856
AUS,2016,11.53846154,Oceania,Australia,48941.12465,24.221
AUS,2017,11.66419019,Oceania,Australia,49628.09931,24.586
AUS,2018,11.71428571,Oceania,Australia,51828.01317,24.951
AUT,2000,23.14194309,Europe,Austria,29131.09841,8.011566
AUT,2001,22.80181782,Europe,Austria,29309.15115,8.042293
AUT,2002,24.48922362,Europe,Austria,30997.10108,8.082121
AUT,2003,21.13692198,Europe,Austria,32040.95252,8.118245
AUT,2004,22.43079216,Europe,Austria,33707.11195,8.169441
AUT,2005,22.03208575,Europe,Austria,34950.38938,8.225278
AUT,2006,21.85513043,Europe,Austria,37707.75983,8.267948
AUT,2007,21.63427637,Europe,Austria,39351.37002,8.295189
